cmd,time,pwmL,pwmR,encL,encR
5,5346,-114,-114,1722,1672
5,5356,-114,-114,1718,1668
5,5366,-119,-119,1714,1663
5,5376,-119,-119,1710,1659
5,5386,-124,-124,1706,1655
5,5396,-124,-124,1702,1651
5,5406,-127,-127,1698,1647
5,5416,-127,-127,1694,1642
5,5426,-132,-132,1691,1639
5,5436,-132,-132,1687,1634
5,5446,-137,-137,1683,1630
5,5456,-137,-137,1679,1625
5,5466,-142,-142,1675,1621
5,5476,-142,-142,1670,1615
5,5486,-147,-147,1665,1610
5,5496,-147,-147,1660,1605
5,5506,-153,-153,1655,1600
5,5516,-153,-153,1650,1595
5,5526,-158,-158,1644,1589
5,5536,-158,-158,1639,1584
5,5547,-163,-163,1634,1579
5,5557,-163,-163,1629,1574
5,5567,-168,-168,1624,1569
5,5577,-168,-168,1620,1564
5,5587,-170,-170,1615,1559
5,5597,-170,-170,1611,1555
5,5607,-175,-175,1607,1551
5,5617,-175,-175,1604,1547
5,5627,-181,-181,1600,1543
5,5637,-181,-181,1597,1539
5,5647,-186,-186,1593,1535
5,5657,-186,-186,1589,1531
5,5667,-188,-188,1586,1527
5,5677,-188,-188,1583,1523
5,5687,-193,-193,1579,1519
5,5697,-193,-193,1576,1515
5,5707,-196,-196,1572,1511
5,5718,-196,-196,1569,1507
5,5728,-201,-201,1565,1503
5,5738,-204,-204,1562,1498
5,5748,-204,-204,1558,1494
5,5758,-209,-209,1554,1490
5,5768,-209,-209,1551,1486
5,5778,-209,-209,1547,1481
5,5788,-211,-211,1543,1476
5,5798,-211,-211,1538,1472
5,5808,-216,-216,1535,1467
5,5818,-216,-216,1530,1462
5,5828,-219,-219,1526,1457
5,5838,-219,-219,1521,1452
5,5848,-221,-221,1517,1448
5,5858,-221,-221,1512,1443
5,5868,-224,-224,1508,1438
5,5878,-224,-224,1503,1433
5,5888,-229,-229,1498,1428
5,5898,-229,-229,1493,1423
5,5908,-232,-232,1488,1417
5,5918,-234,-234,1483,1412
5,5928,-234,-234,1478,1407
5,5938,-237,-237,1473,1402
5,5948,-237,-237,1467,1396
5,5958,-237,-237,1462,1391
5,5968,-239,-239,1457,1386
5,5978,-239,-239,1452,1381
5,5988,-239,-239,1446,1375
5,5998,-239,-239,1441,1370
5,6008,-242,-242,1435,1364
5,6018,-242,-242,1430,1359
5,6028,-244,-244,1425,1354
5,6038,-244,-244,1419,1348
5,6048,-247,-247,1413,1342
5,6059,-247,-247,1408,1337
5,6069,-247,-247,1402,1331
5,6079,-247,-247,1396,1326
5,6089,-249,-249,1391,1320
5,6099,-249,-249,1385,1314
5,6109,-249,-249,1380,1309
5,6119,-252,-252,1374,1304
5,6129,-252,-252,1368,1298
5,6139,-252,-252,1362,1292
5,6149,-252,-252,1357,1287
5,6159,-252,-252,1351,1281
5,6169,-252,-252,1345,1276
5,6179,-252,-252,1339,1270
5,6189,-252,-252,1334,1265
5,6199,-252,-252,1328,1259
5,6209,-252,-252,1322,1253
5,6219,-252,-252,1316,1247
